,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
39,1.000860322320034e-13,5.136577288762978,0.023819080170099483,1.326052184434934e-10,1.2552826757195294e-10,0.039177030956008996
40,1.6695356413242763e-13,1.136577288762978,1.0345011419816412,1.1147335150775452e-11,1.0296032781472322e-12,3.006305453085704e-05
41,1.6695356413242763e-13,1.3587995109852002,1.027421474478631,1.1161295804481527e-11,1.0478355863828992e-12,4.605050745417036e-05
42,1.6695356413242763e-13,1.5810217332074223,1.0282628989111426,1.1186441526533716e-11,1.0481635619246649e-12,7.054142192658182e-05
43,1.6695356413242763e-13,1.8032439554296444,0.9974161468791891,1.1219936873873373e-11,1.1286889326645212e-12,0.00010806110855949319
44,1.6695356413242763e-13,2.0254661776518668,0.9969551827062659,1.1276695986735032e-11,1.1356034141717985e-12,0.00016554223555870006
45,1.6695356413242763e-13,2.247688399874089,0.9339159782150848,1.1363659874648914e-11,1.3231291824270885e-12,0.0002536177912727085
46,1.6695356413242763e-13,2.469910622096311,0.9379909962307416,1.1494419746604822e-11,1.3258550776178895e-12,0.0003885913525370386
47,1.6695356413242763e-13,2.6921328443185333,0.8219033741704305,1.1689857945327069e-11,1.7615941503814275e-12,0.0005954810414772889
48,1.6695356413242763e-13,2.9143550665407556,0.8304424061058064,1.1978672039816584e-11,1.7699714801714137e-12,0.0009127006588249727
49,1.6695356413242763e-13,3.136577288762978,0.5943252615920134,1.2397122970570682e-11,3.1549730042426416e-12,0.0013992714493621335
50,1.6695356413242763e-13,3.336577288762978,0.4884411758031213,1.2918072746755014e-11,4.1952374810237776e-12,0.0020560561498970177
51,1.6695356413242763e-13,3.536577288762978,0.44903480162634324,1.592121093674508e-11,5.661627533274913e-12,0.0030219279027644736
52,1.6695356413242763e-13,3.736577288762978,0.48997095585861494,1.781618962106956e-11,5.765591522338931e-12,0.004442508501758568
53,1.6695356413242763e-13,3.9365772887629777,0.20189656240508924,2.0582073230086345e-11,1.2929822312901357e-11,0.006531422416364942
54,1.6695356413242763e-13,4.136577288762978,0.1208444028465614,2.5453876365408824e-11,1.9271234117067838e-11,0.009601206957807593
55,1.6695356413242763e-13,4.336577288762978,0.13533217260546948,3.3972602224379885e-11,2.4876921830983626e-11,0.014108336860687474
56,1.6695356413242763e-13,4.536577288762978,0.04361046819704839,4.447038737911316e-11,4.022170203348879e-11,0.020719552691523434
57,1.6695356413242763e-13,4.7365772887629785,0.09825233298534819,6.465172400244701e-11,5.156176524930303e-11,0.030409009378309905
58,1.6695356413242763e-13,4.936577288762978,0.007766378373856853,7.287407282692258e-11,7.158246736181747e-11,0.044597702945420314
59,1.6695356413242763e-13,5.136577288762978,0.02381908973297797,1.3260522127574905e-10,1.2552826748900505e-10,0.0653511371262195
60,2.784953300167665e-13,1.136577288762978,1.0342848701734013,1.1141813231166953e-11,1.0296058559622334e-12,5.014808351529189e-05
61,2.784953300167665e-13,1.3587995109852002,1.0273591259629402,1.1159695265436837e-11,1.0478357452906205e-12,7.681670176568288e-05
62,2.784953300167665e-13,1.5810217332074223,1.0281027745787021,1.1182328965725801e-11,1.0481646041370203e-12,0.00011766991654702414
63,2.784953300167665e-13,1.8032439554296444,0.9974021221669531,1.1219577241674528e-11,1.1286892031194575e-12,0.00018025531339687924
64,2.784953300167665e-13,2.0254661776518668,0.9969676850713682,1.1277023541498654e-11,1.1356037081450926e-12,0.0002761404644042471
65,2.784953300167665e-13,2.247688399874089,0.933916963869331,1.1363661026071236e-11,1.323126313584695e-12,0.00042305898914923607
