,Plot,Cell_type,Variant,STAT_type,Variant,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
48,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.10163297399195857
49,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,1.0808532884091641e-10,3.136577288762978,100000,1.0,0.07892215811637021
50,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,1.6186569133057392e-10,3.136577288762978,100000,1.0,0.05445676824025294
51,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,2.424057206550881e-10,3.136577288762978,100000,1.0,0.03212006482196469
52,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,3.6302030975982313e-10,3.136577288762978,100000,1.0,0.01603542163294656
53,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,5.436494854245998e-10,3.136577288762978,100000,1.0,0.007521503102762558
54,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,8.1415489727826e-10,3.136577288762978,100000,1.0,0.004098847235160115
55,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,1.2192565513871144e-09,3.136577288762978,100000,1.0,0.0026254577531111363
56,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,1.8259259301517372e-09,3.136577288762978,100000,1.0,0.001747760109825748
57,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,2.734457730497721e-09,3.136577288762978,100000,1.0,0.0011662732776913604
58,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,4.095050602220965e-09,3.136577288762978,100000,1.0,0.0007784220979349972
59,1,ACH-000049,54:98,6e-12,54:98,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,84657.0578418093,1.58616275669991e-06,6e-12,6.132638017300007e-09,3.136577288762978,100000,1.0,0.0005196279193842569
60,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.166251017730643
61,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.16449733750854156
62,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.16192830244280504
63,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.15820509063450314
64,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.152893965637873
65,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.14549059636280573
66,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.13550664088348321
67,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.1226497838550444
68,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.10708324301916054
69,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,1.0808532884091641e-10,3.136577288762978,100000,1.0,0.08963763521795744
70,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,1.6186569133057392e-10,3.136577288762978,100000,1.0,0.07174853460797959
71,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,2.424057206550881e-10,3.136577288762978,100000,1.0,0.05501754005209207
72,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,3.6302030975982313e-10,3.136577288762978,100000,1.0,0.04064899194390771
73,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,5.436494854245998e-10,3.136577288762978,100000,1.0,0.029158629328200902
74,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,8.1415489727826e-10,3.136577288762978,100000,1.0,0.02046046419198535
75,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,1.2192565513871144e-09,3.136577288762978,100000,1.0,0.014132825604335505
76,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,1.8259259301517372e-09,3.136577288762978,100000,1.0,0.009655852566447791
77,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,2.734457730497721e-09,3.136577288762978,100000,1.0,0.006547893169430271
78,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,4.095050602220965e-09,3.136577288762978,100000,1.0,0.004417839482788257
79,1,ACH-000049,74:79,6e-12,74:79,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,3533705.51234612,0.00038407063997,6e-12,6.132638017300007e-09,3.136577288762978,100000,1.0,0.0029705316541038017
80,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.1690176878705534
81,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.16859608180781369
82,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.1679683676494834
83,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.16703654165341933
84,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.1656591466378199
85,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.16363606784884407
86,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.16069238039481312
87,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.1564674951416414
88,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.15052264226749834
89,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,1.0808532884091641e-10,3.136577288762978,100000,1.0,0.14238898969430702
90,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,1.6186569133057392e-10,3.136577288762978,100000,1.0,0.13168284227911048
91,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,2.424057206550881e-10,3.136577288762978,100000,1.0,0.1182946175101996
92,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,3.6302030975982313e-10,3.136577288762978,100000,1.0,0.10259504407844743
93,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,5.436494854245998e-10,3.136577288762978,100000,1.0,0.08552010296055094
94,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,8.1415489727826e-10,3.136577288762978,100000,1.0,0.06840372386773214
95,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,1.2192565513871144e-09,3.136577288762978,100000,1.0,0.05259071361792587
96,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,1.8259259301517372e-09,3.136577288762978,100000,1.0,0.0390437071070609
97,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,2.734457730497721e-09,3.136577288762978,100000,1.0,0.02816395344168372
98,1,ACH-000049,87:66,6e-12,87:66,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,94854.855756463,5.11624534568497e-05,6e-12,4.095050602220965e-09,3.136577288762978,100000,1.0,0.01986684242540738
