,Plot,Cell_type,Variant,STAT_type,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
76,1,ACH-000049,74:79,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,4100000.0,0.0012,6e-12,1.8259259301517372e-09,3.7638927465155745,100000,1.0,2.4855856659853344
77,1,ACH-000049,74:79,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,4100000.0,0.0012,6e-12,2.734457730497721e-09,3.7638927465155745,100000,1.0,1.725057319407776
78,1,ACH-000049,74:79,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,4100000.0,0.0012,6e-12,4.095050602220965e-09,3.7638927465155745,100000,1.0,1.182067151819388
79,1,ACH-000049,74:79,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,4100000.0,0.0012,6e-12,6.132638017300007e-09,3.7638927465155745,100000,1.0,0.8030619691999923
80,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,2.8528190358168157e-12,3.7638927465155745,100000,1.0,16.569767214123168
81,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,4.272305320485853e-12,3.7638927465155745,100000,1.0,16.568458406387407
82,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,6.398089932201252e-12,3.7638927465155745,100000,1.0,16.56649875540322
83,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,9.581607986734417e-12,3.7638927465155745,100000,1.0,16.56356489639664
84,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,1.4349159293524754e-11,3.7638927465155745,100000,1.0,16.559173159470898
85,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,2.148891634013936e-11,3.7638927465155745,100000,1.0,16.55260054060217
86,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,3.2181225117620064e-11,3.7638927465155745,100000,1.0,16.54276725854852
87,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,4.819374014391199e-11,3.7638927465155745,100000,1.0,16.528062903727626
88,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,7.217365344451104e-11,3.7638927465155745,100000,1.0,16.5060905987871
89,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,1.0808532884091641e-10,3.7638927465155745,100000,1.0,16.473293879887734
90,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,1.6186569133057392e-10,3.7638927465155745,100000,1.0,16.42442003319944
91,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,2.424057206550881e-10,3.7638927465155745,100000,1.0,16.351764795276097
92,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,3.6302030975982313e-10,3.7638927465155745,100000,1.0,16.244145874388913
93,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,5.436494854245998e-10,3.7638927465155745,100000,1.0,16.085587829963956
94,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,8.1415489727826e-10,3.7638927465155745,100000,1.0,15.853810955133719
95,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,1.2192565513871144e-09,3.7638927465155745,100000,1.0,15.518874209684471
96,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,1.8259259301517372e-09,3.7638927465155745,100000,1.0,15.042816098538088
97,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,2.734457730497721e-09,3.7638927465155745,100000,1.0,14.381883172663574
98,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,4.095050602220965e-09,3.7638927465155745,100000,1.0,13.493615426026421
99,1,ACH-000049,87:66,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,30000.0,0.00051,6e-12,6.132638017300007e-09,3.7638927465155745,100000,1.0,12.350610868858437
100,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,2.8528190358168157e-12,3.7638927465155745,100000,1.0,16.165855194472876
101,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,4.272305320485853e-12,3.7638927465155745,100000,1.0,15.96427955256126
102,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,6.398089932201252e-12,3.7638927465155745,100000,1.0,15.663350669902695
103,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,9.581607986734417e-12,3.7638927465155745,100000,1.0,15.214966832533923
104,1,ACH-000049,93:60,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,3500000.0,5e-05,6e-12,1.4349159293524754e-11,3.7638927465155745,100000,1.0,14.549158333576834
