Dataset type,RNA dataset num.,Prot. count dataset num.,Cell,Gene,Log2 TPM,Log10 Prot. count
Cancer,2.0,,ACH-000594,IL1R1_HUMAN,1.280956313831056,
Cancer,2.0,,ACH-000684,IL1R1_HUMAN,3.641546029087524,
Cancer,2.0,,ACH-000742,IL1R1_HUMAN,4.4269356196483365,
Cancer,2.0,,ACH-000868,IL1R1_HUMAN,4.423578170981798,
Cancer,2.0,,ACH-000732,IL1R1_HUMAN,2.1984941536390834,
Cancer,2.0,,ACH-000429,IL1R1_HUMAN,3.277984747299765,
Cancer,2.0,,ACH-000310,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-002475,IL1R1_HUMAN,0.1634987322828795,
Cancer,2.0,,ACH-000643,IL1R1_HUMAN,0.6870606883398922,
Cancer,2.0,,ACH-000234,IL1R1_HUMAN,0.4222330006830478,
Cancer,2.0,,ACH-001498,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000896,IL1R1_HUMAN,1.3504972470841332,
Cancer,2.0,,ACH-000203,IL1R1_HUMAN,0.3334237337251918,
Cancer,2.0,,ACH-001607,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-001441,IL1R1_HUMAN,0.0976107966264223,
Cancer,2.0,,ACH-000112,IL1R1_HUMAN,0.1110313123887439,
Cancer,2.0,,ACH-000186,IL1R1_HUMAN,3.4867143730307024,
Cancer,2.0,,ACH-000677,IL1R1_HUMAN,3.075532631167357,
Cancer,2.0,,ACH-000055,IL1R1_HUMAN,0.1505596765753814,
Cancer,2.0,,ACH-000485,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-000672,IL1R1_HUMAN,1.292781749227846,
Cancer,2.0,,ACH-000287,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000784,IL1R1_HUMAN,1.5945485495503542,
Cancer,2.0,,ACH-000530,IL1R1_HUMAN,2.5310694927259543,
Cancer,2.0,,ACH-002024,IL1R1_HUMAN,0.0,
Cancer,2.0,,ACH-000380,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-001737,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-001400,IL1R1_HUMAN,1.7990873060740036,
Cancer,2.0,,ACH-001054,IL1R1_HUMAN,0.01435529297707,
Cancer,2.0,,ACH-000009,IL1R1_HUMAN,2.985500430304885,
Cancer,2.0,,ACH-000491,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-001703,IL1R1_HUMAN,0.2630344058337938,
Cancer,2.0,,ACH-000002,IL1R1_HUMAN,0.4750848829487828,
Cancer,2.0,,ACH-001568,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-000993,IL1R1_HUMAN,4.073820233291672,
Cancer,2.0,,ACH-000877,IL1R1_HUMAN,0.1634987322828795,
Cancer,2.0,,ACH-000711,IL1R1_HUMAN,3.232660756790275,
Cancer,2.0,,ACH-001515,IL1R1_HUMAN,2.5360529002402097,
Cancer,2.0,,ACH-000702,IL1R1_HUMAN,5.691254978650136,
Cancer,2.0,,ACH-001020,IL1R1_HUMAN,1.1176950426697545,
